,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,eval/perplexity,eval/loss,eval/step,eval/epoch,eval/batch_idx,eval/updates,test/perplexity,test/loss,Embedding parameters,Non-embedding parameters,Total parameters,run_name,embedding_size,hidden_size,intermediate_size,num_attention_heads,num_hidden_layers,Experiment type,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,FLOPS Hoffman per sequence,FLOPS Hoffman total,FLOPS Kaplan per sequence,FLOPS Kaplan total,Tokens,FLOP bins
0,0,0,0,54.71571773146925,4.002151012420654,2000,0,1999,1000,13.334430316596622,2.5903494358062744,1225216.0,732226.0,1957442.0,prime-smoke-1,64.0,32.0,128.0,1.0,8.0,Iso-PR,,,1498693632.0,383665569792000.0,562349568.0,143961489408000.0,32768000,10
397,397,1,1,25.418723053729984,3.2354860305786133,4000,0,3999,2000,16.572500767412993,2.80774474143982,612608.0,654978.0,1267586.0,devoted-capybara-3,32.0,32.0,128.0,2.0,2.0,Iso-FLOPs,,,959348736.0,491186552832000.0,503023104.0,257547829248000.0,65536000,11
398,398,2,2,24.44698116742037,3.19650673866272,6000,0,5999,3000,16.572500767412993,2.80774474143982,612608.0,654978.0,1267586.0,devoted-capybara-3,32.0,32.0,128.0,2.0,2.0,Iso-FLOPs,,,959348736.0,736779829248000.0,503023104.0,386321743872000.0,98304000,12
361,361,73,73,24.74799624426067,3.208744525909424,4000,0,3999,2000,8.897370019801674,2.185755729675293,612608.0,1642050.0,2254658.0,misty-lake-11,32.0,64.0,256.0,4.0,8.0,Iso-PR,,,1735016448.0,888328421376000.0,1261094400.0,645680332800000.0,65536000,13
399,399,3,3,23.95615262397224,3.176225185394287,8000,0,7999,4000,16.572500767412993,2.80774474143982,612608.0,654978.0,1267586.0,devoted-capybara-3,32.0,32.0,128.0,2.0,2.0,Iso-FLOPs,,,959348736.0,982373105664000.0,503023104.0,515095658496000.0,131072000,14
400,400,4,4,23.4243744290424,3.1537771224975586,10000,0,9999,5000,16.572500767412993,2.80774474143982,612608.0,654978.0,1267586.0,devoted-capybara-3,32.0,32.0,128.0,2.0,2.0,Iso-FLOPs,,,959348736.0,1227966382080000.0,503023104.0,643869573120000.0,163840000,15
401,401,5,5,23.101941425761844,3.1399166584014893,12000,0,11999,6000,16.572500767412993,2.80774474143982,612608.0,654978.0,1267586.0,devoted-capybara-3,32.0,32.0,128.0,2.0,2.0,Iso-FLOPs,,,959348736.0,1473559658496000.0,503023104.0,772643487744000.0,196608000,16
290,290,2,2,23.127556484219223,3.1410248279571533,6000,0,5999,3000,9.127427780290825,2.2112839221954346,1225216.0,1410242.0,2635458.0,laced-sun-4,64.0,64.0,512.0,8.0,2.0,Iso-PR,,,2006384640.0,1540903403520000.0,1083065856.0,831794577408000.0,98304000,17
402,402,6,6,22.774132944628075,3.1256253719329834,14000,0,13999,7000,16.572500767412993,2.80774474143982,612608.0,654978.0,1267586.0,devoted-capybara-3,32.0,32.0,128.0,2.0,2.0,Iso-FLOPs,,,959348736.0,1719152934912000.0,503023104.0,901417402368000.0,229376000,18
291,291,3,3,21.88643780148126,3.085867166519165,8000,0,7999,4000,9.127427780290825,2.2112839221954346,1225216.0,1410242.0,2635458.0,laced-sun-4,64.0,64.0,512.0,8.0,2.0,Iso-PR,,,2006384640.0,2054537871360000.0,1083065856.0,1109059436544000.0,131072000,19
364,364,76,76,22.06639035717772,3.094055652618408,10000,0,9999,5000,8.897370019801674,2.185755729675293,612608.0,1642050.0,2254658.0,misty-lake-11,32.0,64.0,256.0,4.0,8.0,Iso-PR,,,1735016448.0,2220821053440000.0,1261094400.0,1614200832000000.0,163840000,20
