,Unnamed: 0,Unnamed: 0.1,eval/perplexity,eval/loss,eval/step,eval/epoch,eval/batch_idx,eval/updates,test/perplexity,test/loss,Embedding parameters,Non-embedding parameters,Total parameters,run_name,embedding_size,hidden_size,intermediate_size,num_attention_heads,num_hidden_layers,Experiment type,FLOPS Hoffman per sequence,FLOPS Hoffman total,FLOPS Kaplan per sequence,FLOPS Kaplan total,Tokens,FLOP bins
684,72,72,29.04501573850372,3.368846893310547,2000,0,1999,1000,17.016309199565026,2.834172248840332,612608.0,1275650.0,1888258.0,blooming-cosmos-33,32.0,64.0,128.0,1.0,1.0,Model Config,1431601152.0,366489894912000.0,979699200.0,250802995200000.0,32768000.0,10
1405,1,1,25.418723053729984,3.2354860305786133,4000,0,3999,2000,16.572500767412993,2.80774474143982,612608.0,654978.0,1267586.0,devoted-capybara-3,32.0,32.0,128.0,2.0,2.0,Iso-FLOPs,959348736.0,491186552832000.0,503023104.0,257547829248000.0,65536000.0,11
505,1,1,25.15438137565912,3.225032091140747,4000,0,3999,2000,14.38948465249799,2.666497707366944,612608.0,930882.0,1543490.0,likely-cloud-28,32.0,32.0,512.0,8.0,8.0,Model Config,1189969920.0,609264599040000.0,714917376.0,366037696512000.0,65536000.0,12
1406,2,2,24.44698116742037,3.19650673866272,6000,0,5999,3000,16.572500767412993,2.80774474143982,612608.0,654978.0,1267586.0,devoted-capybara-3,32.0,32.0,128.0,2.0,2.0,Iso-FLOPs,959348736.0,736779829248000.0,503023104.0,386321743872000.0,98304000.0,13
1407,3,3,23.95615262397224,3.176225185394287,8000,0,7999,4000,16.572500767412993,2.80774474143982,612608.0,654978.0,1267586.0,devoted-capybara-3,32.0,32.0,128.0,2.0,2.0,Iso-FLOPs,959348736.0,982373105664000.0,503023104.0,515095658496000.0,131072000.0,14
1154,38,38,24.27546087558825,3.1894659996032715,6000,0,5999,3000,12.74834341289444,2.545401334762573,1225216.0,714690.0,1939906.0,charmed-dew-2,64.0,32.0,256.0,1.0,4.0,Iso-PR,1476083712.0,1133632290816000.0,548881920.0,421541314560000.0,98304000.0,15
1408,4,4,23.4243744290424,3.1537771224975586,10000,0,9999,5000,16.572500767412993,2.80774474143982,612608.0,654978.0,1267586.0,devoted-capybara-3,32.0,32.0,128.0,2.0,2.0,Iso-FLOPs,959348736.0,1227966382080000.0,503023104.0,643869573120000.0,163840000.0,16
974,74,74,23.85792668831681,3.17211651802063,6000,0,5999,3000,8.897370019801674,2.185755729675293,612608.0,1642050.0,2254658.0,misty-lake-11,32.0,64.0,256.0,4.0,8.0,Iso-PR,1735016448.0,1332492632064000.0,1261094400.0,968520499200000.0,98304000.0,17
1409,5,5,23.101941425761844,3.1399166584014893,12000,0,11999,6000,16.572500767412993,2.80774474143982,612608.0,654978.0,1267586.0,devoted-capybara-3,32.0,32.0,128.0,2.0,2.0,Iso-FLOPs,959348736.0,1473559658496000.0,503023104.0,772643487744000.0,196608000.0,18
1410,6,6,22.774132944628075,3.1256253719329834,14000,0,13999,7000,16.572500767412993,2.80774474143982,612608.0,654978.0,1267586.0,devoted-capybara-3,32.0,32.0,128.0,2.0,2.0,Iso-FLOPs,959348736.0,1719152934912000.0,503023104.0,901417402368000.0,229376000.0,19
